"Date and Time Run 1","Time (s) Run 1","X Magnetic Field Strength (G) Run 1","Y Magnetic Field Strength (G) Run 1","Z Magnetic Field Strength (G) Run 1","|Resultant| Magnetic Field Strength (G) Run 1","Date and Time Run 2","Time (s) Run 2","X Magnetic Field Strength (G) Run 2","Y Magnetic Field Strength (G) Run 2","Z Magnetic Field Strength (G) Run 2","|Resultant| Magnetic Field Strength (G) Run 2","Date and Time Run 3","Time (s) Run 3","X Magnetic Field Strength (G) Run 3","Y Magnetic Field Strength (G) Run 3","Z Magnetic Field Strength (G) Run 3","|Resultant| Magnetic Field Strength (G) Run 3"
03/10/2025 03:55:32 pm,3.900,-0.0870,-0.308,-0.0525,0.324,03/10/2025 04:33:35 pm,3.900,-0.0795,-0.314,-0.0465,0.327,03/10/2025 04:39:15 pm,3.900,-0.113,-0.353,0.0315,0.371
03/10/2025 03:55:33 pm,4.000,-0.0900,-0.306,-0.0525,0.323,03/10/2025 04:33:36 pm,4.000,-0.0825,-0.311,-0.0435,0.324,03/10/2025 04:39:16 pm,4.000,-0.116,-0.357,0.0345,0.377
03/10/2025 03:55:33 pm,4.100,-0.0885,-0.305,-0.0570,0.322,03/10/2025 04:33:36 pm,4.100,-0.0810,-0.309,-0.0435,0.322,03/10/2025 04:39:16 pm,4.100,-0.116,-0.357,0.0375,0.377
03/10/2025 03:55:33 pm,4.200,-0.0840,-0.311,-0.0540,0.326,03/10/2025 04:33:36 pm,4.200,-0.0825,-0.309,-0.0435,0.323,03/10/2025 04:39:16 pm,4.200,-0.110,-0.353,0.0300,0.370
03/10/2025 03:55:33 pm,4.300,-0.0870,-0.309,-0.0570,0.326,03/10/2025 04:33:36 pm,4.300,-0.0855,-0.311,-0.0420,0.325,03/10/2025 04:39:16 pm,4.300,-0.116,-0.356,0.0330,0.375
03/10/2025 03:55:33 pm,4.400,-0.0855,-0.309,-0.0555,0.325,03/10/2025 04:33:36 pm,4.400,-0.0810,-0.309,-0.0450,0.323,03/10/2025 04:39:16 pm,4.400,-0.107,-0.350,0.0315,0.367
03/10/2025 03:55:33 pm,4.500,-0.0840,-0.309,-0.0525,0.324,03/10/2025 04:33:36 pm,4.500,-0.0825,-0.308,-0.0465,0.322,03/10/2025 04:39:16 pm,4.500,-0.114,-0.354,0.0330,0.373
03/10/2025 03:55:33 pm,4.600,-0.0885,-0.312,-0.0585,0.330,03/10/2025 04:33:36 pm,4.600,-0.0750,-0.309,-0.0435,0.321,03/10/2025 04:39:16 pm,4.600,-0.110,-0.351,0.0345,0.369
03/10/2025 03:55:33 pm,4.700,-0.0840,-0.312,-0.0540,0.328,03/10/2025 04:33:36 pm,4.700,-0.0810,-0.311,-0.0435,0.324,03/10/2025 04:39:16 pm,4.700,-0.113,-0.350,0.0270,0.368
03/10/2025 03:55:33 pm,4.800,-0.0885,-0.308,-0.0630,0.326,03/10/2025 04:33:36 pm,4.800,-0.0810,-0.312,-0.0435,0.325,03/10/2025 04:39:16 pm,4.800,-0.114,-0.356,0.0315,0.375
03/10/2025 03:55:33 pm,4.900,-0.0840,-0.309,-0.0570,0.325,03/10/2025 04:33:36 pm,4.900,-0.0825,-0.314,-0.0480,0.328,03/10/2025 04:39:16 pm,4.900,-0.113,-0.354,0.0360,0.373
03/10/2025 03:55:34 pm,5.000,-0.0825,-0.311,-0.0585,0.327,03/10/2025 04:33:37 pm,5.000,-0.0825,-0.311,-0.0450,0.324,03/10/2025 04:39:17 pm,5.000,-0.114,-0.354,0.0345,0.374
03/10/2025 03:55:34 pm,5.100,-0.0900,-0.306,-0.0525,0.323,03/10/2025 04:33:37 pm,5.100,-0.0855,-0.315,-0.0465,0.330,03/10/2025 04:39:17 pm,5.100,-0.113,-0.351,0.0345,0.370
03/10/2025 03:55:34 pm,5.200,-0.0870,-0.308,-0.0525,0.324,03/10/2025 04:33:37 pm,5.200,-0.0780,-0.312,-0.0450,0.325,03/10/2025 04:39:17 pm,5.200,-0.111,-0.353,0.0300,0.371
03/10/2025 03:55:34 pm,5.300,-0.0840,-0.312,-0.0525,0.327,03/10/2025 04:33:37 pm,5.300,-0.0780,-0.312,-0.0435,0.325,03/10/2025 04:39:17 pm,5.300,-0.110,-0.351,0.0330,0.369
03/10/2025 03:55:34 pm,5.400,-0.0840,-0.308,-0.0525,0.323,03/10/2025 04:33:37 pm,5.400,-0.0810,-0.312,-0.0495,0.326,03/10/2025 04:39:17 pm,5.400,-0.116,-0.353,0.0315,0.372
03/10/2025 03:55:34 pm,5.500,-0.0900,-0.309,-0.0570,0.327,03/10/2025 04:33:37 pm,5.500,-0.0855,-0.308,-0.0495,0.323,03/10/2025 04:39:17 pm,5.500,-0.117,-0.351,0.0375,0.372
03/10/2025 03:55:34 pm,5.600,-0.0885,-0.312,-0.0540,0.329,03/10/2025 04:33:37 pm,5.600,-0.0795,-0.311,-0.0480,0.324,03/10/2025 04:39:17 pm,5.600,-0.113,-0.351,0.0300,0.370
03/10/2025 03:55:34 pm,5.700,-0.0870,-0.308,-0.0555,0.324,03/10/2025 04:33:37 pm,5.700,-0.0840,-0.308,-0.0480,0.322,03/10/2025 04:39:17 pm,5.700,-0.113,-0.354,0.0315,0.373
03/10/2025 03:55:34 pm,5.800,-0.0840,-0.306,-0.0585,0.323,03/10/2025 04:33:37 pm,5.800,-0.0825,-0.315,-0.0510,0.330,03/10/2025 04:39:17 pm,5.800,-0.114,-0.351,0.0330,0.371
03/10/2025 03:55:34 pm,5.900,-0.0870,-0.305,-0.0555,0.322,03/10/2025 04:33:37 pm,5.900,-0.0765,-0.306,-0.0435,0.318,03/10/2025 04:39:17 pm,5.900,-0.113,-0.348,0.0300,0.367
03/10/2025 03:55:35 pm,6.000,-0.0870,-0.312,-0.0525,0.328,03/10/2025 04:33:38 pm,6.000,-0.0795,-0.308,-0.0435,0.321,03/10/2025 04:39:18 pm,6.000,-0.113,-0.354,0.0345,0.373
03/10/2025 03:55:35 pm,6.100,-0.0885,-0.306,-0.0555,0.323,03/10/2025 04:33:38 pm,6.100,-0.0810,-0.312,-0.0435,0.325,03/10/2025 04:39:18 pm,6.100,-0.113,-0.356,0.0330,0.374
03/10/2025 03:55:35 pm,6.200,-0.0855,-0.305,-0.0540,0.321,03/10/2025 04:33:38 pm,6.200,-0.0825,-0.312,-0.0435,0.326,03/10/2025 04:39:18 pm,6.200,-0.111,-0.350,0.0330,0.368
03/10/2025 03:55:35 pm,6.300,-0.0855,-0.312,-0.0555,0.328,03/10/2025 04:33:38 pm,6.300,-0.0780,-0.314,-0.0435,0.326,03/10/2025 04:39:18 pm,6.300,-0.114,-0.351,0.0330,0.371
03/10/2025 03:55:35 pm,6.400,-0.0825,-0.303,-0.0540,0.319,03/10/2025 04:33:38 pm,6.400,-0.0810,-0.308,-0.0450,0.321,03/10/2025 04:39:18 pm,6.400,-0.114,-0.353,0.0330,0.372
03/10/2025 03:55:35 pm,6.500,-0.0855,-0.314,-0.0570,0.330,03/10/2025 04:33:38 pm,6.500,-0.0780,-0.308,-0.0450,0.320,03/10/2025 04:39:18 pm,6.500,-0.114,-0.353,0.0270,0.371
03/10/2025 03:55:35 pm,6.600,-0.0855,-0.309,-0.0585,0.326,03/10/2025 04:33:38 pm,6.600,-0.0810,-0.311,-0.0480,0.324,03/10/2025 04:39:18 pm,6.600,-0.113,-0.359,0.0300,0.377
03/10/2025 03:55:35 pm,6.700,-0.0870,-0.312,-0.0570,0.329,03/10/2025 04:33:38 pm,6.700,-0.0855,-0.312,-0.0465,0.327,03/10/2025 04:39:18 pm,6.700,-0.111,-0.357,0.0285,0.375
03/10/2025 03:55:35 pm,6.800,-0.0885,-0.309,-0.0585,0.327,03/10/2025 04:33:38 pm,6.800,-0.0825,-0.311,-0.0465,0.325,03/10/2025 04:39:18 pm,6.800,-0.117,-0.356,0.0360,0.376
03/10/2025 03:55:35 pm,6.900,-0.0915,-0.305,-0.0600,0.324,03/10/2025 04:33:38 pm,6.900,-0.0795,-0.309,-0.0450,0.322,03/10/2025 04:39:18 pm,6.900,-0.111,-0.362,0.0360,0.380
03/10/2025 03:55:36 pm,7.000,-0.0825,-0.309,-0.0570,0.325,03/10/2025 04:33:39 pm,7.000,-0.0795,-0.309,-0.0465,0.322,03/10/2025 04:39:19 pm,7.000,-0.113,-0.360,0.0315,0.378
03/10/2025 03:55:36 pm,7.100,-0.0900,-0.308,-0.0570,0.325,03/10/2025 04:33:39 pm,7.100,-0.0810,-0.309,-0.0450,0.323,03/10/2025 04:39:19 pm,7.100,-0.116,-0.359,0.0300,0.378
